gold,Program,MethodType,RequirementID,MethodID,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU,classGold
T,chess,Leaf,1,15,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,15,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,15,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,15,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,5,15,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,6,15,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,7,15,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,8,15,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Leaf,1,16,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,16,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,16,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,16,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,5,16,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,6,16,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,7,16,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,8,16,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Leaf,1,17,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,17,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,17,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,17,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,5,17,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,6,17,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,7,17,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,8,17,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Inner,1,18,1,0,0,1,0,0,0,0,1,0,0,0,Trace
N,chess,Inner,2,18,0,1,0,0,1,0,0,0,1,0,0,0,NoTrace
