gold,Program,MethodType,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU,CompleteCallersCallees,classGold
N,chess,Inner,-1,Low,-1,-1,Medium,-1,-1,Medium,Medium,-1,Medium,Medium,0,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Medium,-1,-1,Medium,Medium,-1,Medium,Medium,0,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Medium,-1,-1,Medium,Medium,-1,Medium,Medium,0,Trace,
N,chess,Inner,-1,Low,-1,-1,Medium,-1,-1,Medium,Medium,-1,Medium,Medium,0,NoTrace,
T,chess,Inner,Low,-1,-1,Low,Low,-1,Medium,-1,Medium,Medium,-1,Medium,0,Trace,
T,chess,Inner,Low,-1,-1,Medium,-1,-1,Medium,-1,Medium,Medium,-1,Medium,0,Trace,
N,chess,Inner,-1,Low,-1,-1,Medium,-1,-1,Medium,Medium,-1,Medium,Medium,0,NoTrace,
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Medium,Medium,Low,High,High,0,Trace,
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Medium,Medium,-1,High,High,0,NoTrace,
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Medium,Medium,-1,High,High,0,NoTrace,
N,chess,Root,-1,-1,-1,-1,-1,-1,Low,Medium,Medium,-1,High,High,0,Trace,
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Medium,Medium,-1,High,High,0,NoTrace,
N,chess,Root,-1,-1,-1,-1,-1,-1,Medium,Low,Medium,High,Low,High,0,Trace,
T,chess,Root,-1,-1,-1,-1,-1,-1,Medium,Low,Medium,High,Low,High,0,Trace,
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Medium,Medium,-1,High,High,0,NoTrace,
T,chess,Inner,Low,-1,-1,-1,-1,-1,Medium,-1,-1,High,-1,Medium,1,Trace,
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,-1,-1,High,Medium,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,-1,-1,High,Medium,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,-1,-1,High,Medium,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,-1,Low,High,Medium,1,Trace,
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,-1,-1,High,Medium,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,-1,-1,High,Medium,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,-1,-1,High,Medium,1,NoTrace,
T,chess,Inner,Low,-1,-1,Low,-1,-1,Medium,-1,-1,Medium,-1,-1,1,Trace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,Medium,-1,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,Medium,-1,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,Medium,-1,1,NoTrace,
T,chess,Inner,-1,Low,-1,-1,Low,-1,Low,Low,-1,Low,Medium,-1,1,Trace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,Medium,-1,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,Medium,-1,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,-1,-1,Medium,-1,1,NoTrace,
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
T,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,Trace,
N,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,NoTrace,
N,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,NoTrace,
N,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,NoTrace,
N,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,Trace,
N,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,NoTrace,
N,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,NoTrace,
N,chess,Leaf,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,NoTrace,
T,chess,Inner,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,1,Trace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1,1,Trace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Low,-1,-1,Low,-1,1,NoTrace,
T,chess,Inner,Low,-1,-1,Low,-1,-1,High,-1,Medium,High,Low,-1,0,Trace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,Medium,Medium,High,-1,0,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,Medium,-1,High,-1,0,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,Medium,Medium,High,-1,0,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,Low,High,Medium,Low,High,-1,0,Trace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,Medium,Medium,High,-1,0,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,Medium,Medium,High,-1,0,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,Medium,-1,High,-1,0,NoTrace,
T,chess,Root,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1,-1,1,Trace,
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1,1,NoTrace,
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1,1,NoTrace,
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1,1,NoTrace,
N,chess,Root,-1,-1,-1,-1,-1,-1,-1,Low,-1,-1,Medium,-1,1,Trace,
