gold,Program,MethodType,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU
T,chess,Leaf,Low,-1,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1
